  CNT  SHA    X    Y  RAD   RX   RY    W    H    R    G    B   OP
    1    1  333  283   94   20   24   65   39  117   24  163  0.8
    2    1  154   91   96   25   21   72   64  103  143   70  0.7
    3    2  132  268   60   30   19   33   26   55   88  130  1.0
    4    1  453  123   15   20   13   44   63    4   63  172  0.1
    5    1  278   14   86   15   11   75   64  162   40    9  1.0
    6    1   66  133    1   23   16   46   18  149  111   69  0.0
    7    2  112  281   23   21   25   28   14  172  224   70  0.2
    8    1   42  109   28   20   19   47   32  122  178   45  0.5
    9    0  327  131   88   29   17   59   29   28  140  186  0.5
   10    1  126   79   37   15   24   76   56  168   96   52  1.0
